Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6695271e128741164cc09818,65f2e755d42dbc215d2cf2db,APPROVED,Not Applicable,2024-07-15T13:41:57.557000Z,2024-07-15T13:57:20.427000Z,2024-07-15T13:57:58.071000Z,2024-07-15T13:57:21.037155Z,923,CZRCK6S2,1,"Afrikaans, English",24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
669527b0e7cf1fdc78c10a87,5e14f2df13ec50afa4d63eee,APPROVED,Not Applicable,2024-07-15T13:44:27.194000Z,2024-07-15T13:52:37.282000Z,2024-07-15T13:55:50.013000Z,2024-07-15T13:52:38.363251Z,491,CZRCK6S2,213,"French, English",31,Male,White,France,France,France,English,Yes,Due to start a new job within the next month
669527f96742c2328e8055fb,6612d5576f3d2a793497ffa3,APPROVED,Not Applicable,2024-07-15T13:45:32.136000Z,2024-07-15T13:51:09.462000Z,2024-07-15T13:57:16.283000Z,2024-07-15T13:51:29.008600Z,338,CZRCK6S2,18,"French, English",20,Male,Mixed,France,France,France,French,Yes,Unemployed (and job seeking)
669527fefb09d83175ea0bf1,65269ef35c340b79d514b370,APPROVED,Not Applicable,2024-07-15T13:45:40.793000Z,2024-07-15T13:54:22.825000Z,2024-07-15T13:57:16.648000Z,2024-07-15T13:54:23.495500Z,523,CZRCK6S2,12,"Afrikaans, English",25,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
66952802a5744074b869b2f7,664b73213b07ea0cf259db74,APPROVED,Not Applicable,2024-07-15T13:45:53.630000Z,2024-07-15T14:02:09.453000Z,2024-07-15T14:03:07.749000Z,2024-07-15T14:02:24.500077Z,976,CZRCK6S2,3,English,36,Female,White,South Africa,South Africa,South Africa,English,Yes,Full-Time
669549006ac209a327eb083b,613f57084e80f056c78f9b7b,APPROVED,Not Applicable,2024-07-15T16:07:07.687000Z,2024-07-15T16:23:21.949000Z,2024-07-15T16:40:55.416000Z,2024-07-15T16:23:22.524084Z,975,CZRCK6S2,340,"Afrikaans, English",26,Male,Mixed,South Africa,South Africa,South Africa,Afrikaans,No,Unemployed (and job seeking)
669549224050bda58d8370ed,668ff9459aca1cfb9c977cc8,APPROVED,Not Applicable,2024-07-15T16:07:02.689000Z,2024-07-15T16:13:49.462000Z,2024-07-15T16:40:55.789000Z,2024-07-15T16:14:44.646499Z,407,CZRCK6S2,16,"English, Spanish",32,Female,White,Cuba,United Kingdom,Spain,DATA_EXPIRED,No,Full-Time
66954924fdd4b24878f6df09,611cdcbb1152bad5b9abdc92,APPROVED,Not Applicable,2024-07-15T16:07:48.395000Z,2024-07-15T16:26:45.338000Z,2024-07-15T16:40:56.053000Z,2024-07-15T16:26:46.597717Z,1137,CZRCK6S2,241,English,26,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
6695492bf7852b96f63ef865,65e1eed9e85da887cb8c3016,APPROVED,Not Applicable,2024-07-15T16:07:37.291000Z,2024-07-15T16:18:13.338000Z,2024-07-15T16:40:56.311000Z,2024-07-15T16:18:14.040841Z,637,CZRCK6S2,18,"Afrikaans, English",30,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
6695494796e0e9508b646be8,6161cb3de3d274978d46575b,APPROVED,Not Applicable,2024-07-15T16:07:35.257000Z,2024-07-15T16:16:23.003000Z,2024-07-15T16:40:56.614000Z,2024-07-15T16:16:23.826037Z,528,CZRCK6S2,65,English,23,Male,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
