Timestamp,Do you agree to take part in this study?,Please enter your Prolific ID,Can you name the visualization method used in the chart below?,Can you name the visualization method used in the chart below?,Can you name the visualization method used in the chart below?,Can you name the visualization method used in the chart below?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Which is larger, A or B?",How confident do you feel about your answer?,"Considering the tasks that you've just performed, how do you rate the treemap visualization method?","Considering the tasks that you've just performed, how do you rate the bubble chart visualization method?","Considering the tasks that you've just performed, how do you rate the donut chart visualization method?","Considering the tasks that you've just performed, how do you rate the blob plot visualization method?","Based on your personal preference, which of these methods did you find most aesthetically pleasing?","Given that a visualization is just a representation of the data, and that the data is just a representation of reality, the process of modeling reality into a visualization carries an important component of underlying uncertainty and imprecisions. In your opinion, which visualization method best conveys the idea of imprecision in the data?","Please feel free to write in this field any impressions, feedbacks, criticisms or opinions about the ""blob plot"" method.","Based on your personal preference, which of these methods would you prefer to use for tasks similar to those you performed in this study?"
7/14/2024 16:05:22,I do not agree.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2024 16:10:49,I agree.,blblb,Treemap,Donut chart,Blob plot,Bubble chart,B,4,B,5,A,5,A,3,A,3,A,5,B,5,B,4,A,4,A,4,B,5,B,5,B,4,B,4,A,4,B,3,A,3,B,4,B,4,A,4,B,4,A,4,A,4,A,5,4,4,4,4,Blob plot,Blob plot,,
7/15/2024 10:09:24,I agree.,Mel,"I don't know the name, but I have seen a visualization like this before.","I don't know the name, but I have seen a visualization like this before.","I don't know the name, but I have seen a visualization like this before.","I don't know the name, but I have seen a visualization like this before.",A,1,B,3,A,5,A,3,A,4,A,5,B,4,B,4,A,5,A,1,B,5,B,5,B,4,B,1,A,1,B,1,B,1,B,5,B,4,A,4,B,1,A,4,A,5,A,5,2,2,2,2,Donut chart,Bubble chart,,Treemap
7/15/2024 10:51:01,I agree.,6612d5576f3d2a793497ffa3,"I don't know the name, but I've seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,3,B,2,A,4,B,1,A,2,A,4,B,4,B,4,A,4,B,1,B,4,B,3,B,2,B,1,B,3,B,1,A,3,B,2,B,1,A,2,B,2,A,3,A,2,B,2,4,3,4,4,Blob plot,Blob plot,,Donut chart
7/15/2024 10:52:33,I agree.,5e14f2df13ec50afa4d63eee,Heatmap,Pie chart,Blob plot,"I don't know the name, and I've never seen a chart like this before.",B,3,B,5,A,5,A,2,A,4,A,5,B,3,B,4,A,4,A,1,B,5,B,5,B,5,B,3,A,3,A,2,B,2,B,3,B,2,A,2,B,2,A,2,A,2,A,2,3,1,5,1,Donut chart,Donut chart,"This is heavily unreadable, I have no idea what this would be used for.",Donut chart
7/15/2024 10:53:59,I agree.,65269ef35c340b79d514b370,"I don't know the name, but I've seen a chart like this before.",Pie chart,Bubble chart,Treemap,A,3,B,4,A,4,A,3,A,4,A,4,B,4,A,4,A,4,A,2,B,5,B,4,B,5,B,4,A,3,B,3,A,4,B,4,B,3,A,4,A,2,A,5,A,5,A,4,3,4,4,2,Bubble chart,Blob plot,Not effective ,Donut chart
7/15/2024 10:57:03,I agree.,65f2e755d42dbc215d2cf2db,Treemap,Donut chart,Bubble chart,Bubble chart,A,5,B,5,A,5,A,5,B,5,A,5,B,5,B,5,A,5,A,5,B,5,B,5,B,5,B,5,A,5,B,5,A,5,B,5,B,5,A,5,B,5,A,5,A,5,A,5,5,5,5,1,Blob plot,Donut chart,It's oddly satisfying. ,Treemap
7/15/2024 11:00:55,I agree.,664b73213b07ea0cf259db74,Heatmap,Pie chart,Voronoi map,Bubble chart,A,4,B,4,B,4,B,5,B,3,A,4,A,4,A,5,B,5,A,4,B,4,B,4,B,4,A,4,B,4,A,4,B,4,A,4,B,4,A,4,A,4,B,4,B,4,B,4,3,4,4,4,Bubble chart,Bubble chart,,Bubble chart
7/15/2024 13:13:41,I agree.,668ff9459aca1cfb9c977cc8,"I don't know the name, but I've seen a chart like this before.",Donut chart,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,3,B,4,A,5,A,3,A,3,A,4,B,4,B,2,A,4,A,3,B,5,B,5,B,4,B,3,A,3,B,2,A,2,B,5,B,4,A,3,B,3,A,3,A,5,A,5,2,3,5,3,Donut chart,Blob plot,I like it being conscious that it carries underlying uncertainty and imprecisions. but wouldn't use it for official analysis as it doesn't feel rigurous,Donut chart
7/15/2024 13:13:59,I agree.,5d9c903b23fe630017ae91c7,"I don't know the name, but I've seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,3,B,5,A,5,B,1,A,3,A,5,B,5,B,4,A,3,A,3,B,5,B,5,B,3,B,2,A,4,B,1,A,2,B,5,B,4,A,3,B,2,A,3,A,5,A,5,3,4,5,1,Treemap,Blob plot,,Donut chart
7/15/2024 13:14:10,I agree.,6100ffa7efadc2aeef5438b5,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",B,4,B,5,A,5,A,4,A,5,A,5,B,5,B,5,A,5,A,5,B,5,B,5,B,5,B,4,A,4,B,2,B,4,B,5,B,5,A,5,B,5,A,5,A,5,A,5,4,2,5,4,Treemap,Donut chart,,Donut chart
7/15/2024 13:14:22,I agree.,668e809461aae65c8a160e03,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,4,B,4,A,5,A,2,B,4,A,5,B,3,B,4,A,5,A,1,B,5,B,4,B,4,B,4,A,1,B,3,A,4,B,4,B,2,A,4,B,4,A,3,A,4,A,4,3,4,5,2,Donut chart,Donut chart,i dont like this method,Donut chart
7/15/2024 13:14:43,I agree.,668a94a0b3549e7f6561493d,"I don't know the name, and I've never seen a chart like this before.",Donut chart,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.",A,5,B,5,A,5,A,4,A,5,A,5,B,5,B,4,A,5,A,5,B,5,B,5,B,5,B,5,A,5,B,5,B,5,B,5,B,5,A,4,B,3,A,4,A,5,A,5,2,4,5,4,Donut chart,Treemap,,Donut chart
7/15/2024 13:15:16,I agree.,60f74fa61a6202ff21d7871e,"I don't know the name, and I've never seen a chart like this before.",Donut chart,Bubble chart,"I don't know the name, but I've seen a chart like this before.",B,3,B,3,A,5,A,5,A,5,A,5,B,5,B,4,A,5,A,3,B,4,B,5,B,3,B,2,A,4,B,3,B,2,B,3,B,4,A,2,B,2,A,2,B,5,A,3,3,4,2,3,Treemap,Donut chart,,Blob plot
7/15/2024 13:15:17,I agree.,5c5404c24831db000161c5e8,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,3,B,4,A,4,A,3,A,3,A,4,B,3,B,3,A,4,A,3,B,4,B,4,B,4,B,3,A,3,B,3,B,3,B,4,B,4,A,3,B,4,A,3,A,4,A,4,3,3,4,4,Blob plot,Blob plot,"The blob plot looks like giraffe print.  I was never quite confident in my answers, but it was always an interesting challenge.",Donut chart
7/15/2024 13:15:26,I agree.,668d36339ef8c467df03adb5,"I don't know the name, and I've never seen a chart like this before.",Pie chart,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,4,B,5,A,5,A,3,A,4,A,5,B,4,B,3,A,5,A,3,B,5,B,4,B,5,B,3,A,4,B,3,B,3,B,5,B,5,A,3,B,2,A,4,A,4,A,3,3,5,5,1,Donut chart,Donut chart,Giiven their irregular shapes its really difficult to tell which one is bigger than the other. In my opinion using this chart is a terrible decision.,Bubble chart
7/15/2024 13:16:00,I agree.,60128528323c742cb9b96310,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, but I've seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,3,B,3,A,5,A,3,A,3,A,4,B,4,B,4,A,3,A,3,B,4,B,4,A,3,B,4,A,3,B,3,B,4,B,3,B,3,A,3,B,3,A,4,A,3,A,4,3,4,4,3,Bubble chart,Blob plot,,Bubble chart
7/15/2024 13:16:29,I agree.,5908ec21bc185d00011aa205,"I don't know the name, and I've never seen a chart like this before.",Donut chart,"I don't know the name, and I've never seen a chart like this before.","I don't know the name, and I've never seen a chart like this before.",B,4,B,4,A,5,A,4,A,4,A,5,B,4,B,4,A,5,A,5,B,5,B,5,B,4,B,4,A,4,B,3,A,4,B,5,B,5,A,5,B,4,A,4,A,5,A,5,4,4,5,3,Donut chart,Blob plot,"I don't like too much aesthetically speaking, but it is a good representation.",Donut chart
